original,uniformat,equivalent
&Lubos Pástor,&Lubos Pástor,"['&Lubos Pástor', 'Lubos Pástor']"
"Hao, (Grace) Qing",(Grace) Qing Hao,"['Hao, (Grace) Qing']"
1816-1906,1816-1906,['1816-1906']
"Kalay, A",A  Kalay,"['Kalay, A']"
"Auquier, A A",A A Auquier,"['Auquier, A A']"
"Ryvkin, A A",A A Ryvkin,"['Ryvkin, A A']"
"Walters, A A",A A Walters,"['Walters, A A']"
"Abhyankar, A",A Abhyankar,"['Abhyankar, A']"
"Schmid, A Allan",A Allan Schmid,"['Schmid, A Allan']"
"Anastasopoulos, A",A Anastasopoulos,"['Anastasopoulos, A']"
"Araujo, A",A Araujo,"['Araujo, A']"
"Arnon, A",A Arnon,"['Arnon, A']"
"Asimakopulos, A",A Asimakopulos,"['Asimakopulos, A', 'A. Asimakopulos', 'Asimakopulos, A.']"
"Atkinson, A B",A B Atkinson,"['Atkinson, A B']"
"Salem, A B Z",A B Z Salem,"['Salem, A B Z']"
"Ben-Israel, A",A Ben-Israel,"['Ben-Israel, A']"
"Ben-Tal, A",A Ben-Tal,"['Ben-Tal, A']"
"Buse, A",A Buse,"['Buse, A']"
"DeSerpa, A C",A C DeSerpa,"['DeSerpa, A C']"
"Harvey, A C, et al",A C Harvey,"['Harvey, A C, et al', 'Harvey, A C']"
"Rayner, A C",A C Rayner,"['Rayner, A C', 'Rayner, A J']"
"MacKinlay, A Craig",A Craig  MacKinlay,"['MacKinlay, A Craig', 'MacKinlay, A Craig']"
"MacKinley, A Craig",A Craig MacKinley,"['MacKinley, A Craig']"
"Cukierman, A",A Cukierman,"['Cukierman, A']"
"Bain, A D",A D Bain,"['Bain, A D']"
"Clare, A D",A D Clare,"['Clare, A D']"
"Owen, A D",A D Owen,"['Owen, A D']"
"Woodland, A D",A D Woodland,"['Woodland, A D']"
"Drobny, A",A Drobny,"['Drobny, A']"
"Booth, A E",A E Booth,"['Booth, A E']"
"Fareed, A E",A E Fareed,"['Fareed, A E']"
"Speight, A E H",A E H Speight,"['Speight, A E H']"
"Safarian, A E",A E Safarian,"['Safarian, A E']"
"Whalley, A Elizabeth",A Elizabeth Whalley,"['Whalley, A Elizabeth']"
"Abrassart, A Eugene",A Eugene Abrassart,"['Abrassart, A Eugene']"
"Shorrocks, A F",A F Shorrocks,"['Shorrocks, A F']"
"Trotman-Dickenson, A F",A F Trotman-Dickenson,"['Trotman-Dickenson, A F', 'Trotman-Dickenson, D I']"
"Blomqvist, A G",A G Blomqvist,"['Blomqvist, A G']"
"Haldane, A G",A G Haldane,"['Haldane, A G']"
"Hines, A G",A G Hines,"['Hines, A G']"
"Holtmann, A G",A G Holtmann,"['Holtmann, A G']"
"Gelb, A",A Gelb,"['Gelb, A']"
"Glazer, A",A Glazer,"['Glazer, A']"
"Buckman, A Gregory",A Gregory Buckman,"['Buckman, A Gregory']"
"Barnett, A H",A H Barnett,"['Barnett, A H']"
"Robertson, A Haeworth",A Haeworth Robertson,"['Robertson, A Haeworth']"
"Heertje, A",A Heertje,"['Heertje, A']"
"Holly, A",A Holly,"['Holly, A']"
"MacBean, A I",A I MacBean,"['MacBean, A I']"
"Macbean, A I",A I Macbean,"['Macbean, A I']"
"Boness, A J",A J Boness,"['Boness, A J']"
"Brown, A J",A J Brown,"['Brown, A J']"
"Britton, A J C",A J C Britton,"['Britton, A J C']"
"Douglas, A J",A J Douglas,"['Douglas, A J']"
"Kalotay, A J",A J Kalotay,"['Kalotay, A J']"
"Lerro, A J",A J Lerro,"['Lerro, A J']"
"Senchack, A J, Jr",A J Senchack,"['Senchack, A J, Jr']"
"Venables, A J",A J Venables,"['Venables, A J']"
"John, A",A John,"['John, A']"
"Fisher, A K",A K Fisher,"['Fisher, A K']"
"Skiba, A K",A K Skiba,"['Skiba, A K']"
"Kate, A",A Kate,"['Kate, A']"
"Khan, A",A Khan,"['Khan, A']"
"Levine, A L",A L Levine,"['Levine, A L']"
"Nagar, A L",A L Nagar,"['Nagar, A L']"
"Soyster, A L",A L Soyster,"['Soyster, A L']"
