original,uniformat,equivalent
"Wood, John H.",John H. Wood,"['Wood, John H.', 'Wood, John H', 'John H. Wood']"
"Dasgupta, Sugato",Sugato Dasgupta,"['Dasgupta, Sugato']"
"Graziano, Joseph",Joseph Graziano,"['Graziano, Joseph']"
Christos Cabolis,Christos Cabolis,"['Christos Cabolis', 'Cabolis, Christos']"
"Follmann, Dean A",Dean A Follmann,"['Follmann, Dean A', 'Follmann, Dean A.']"
"Aschauer, David",David Aschauer,"['Aschauer, David']"
"Fallick, Bruce C",Bruce C Fallick,"['Fallick, Bruce C']"
"Maskin, E.",E. Maskin,"['Maskin, E.', 'E. Maskin']"
Regis Barnichon,Regis Barnichon,"['Regis Barnichon', 'Barnichon, Regis']"
Lawrence M. Ausubel,Lawrence M. Ausubel,"['Lawrence M. Ausubel', 'Ausubel, Lawrence M.', 'Ausubel, Lawrence M']"
"Zimmermann, Tom",Tom Zimmermann,"['Zimmermann, Tom']"
"Radner, R",R Radner,"['Radner, R']"
"McCafferty, Stephen",Stephen McCafferty,"['McCafferty, Stephen', 'Stephen McCafferty']"
"Stulz, René M.",René M. Stulz,"['Stulz, René M.', 'Rene M. Stulz', 'Stulz, Rene M.', 'Stulz, Ren M.', 'René M. Stulz', 'Renée M. Stulz']"
"Ji, Chuanshu",Chuanshu Ji,"['Ji, Chuanshu']"
Elizabeth Field-Hendrey,Elizabeth Field-Hendrey,['Elizabeth Field-Hendrey']
"Lipietz, Alain",Alain Lipietz,"['Lipietz, Alain']"
"Frankena, Mark W.",Mark W. Frankena,"['Frankena, Mark W.']"
"Eren, Ozkan",Ozkan Eren,"['Eren, Ozkan', 'Ozkan Eren']"
"Dick, Andrew R",Andrew R Dick,"['Dick, Andrew R', 'Dick, Andrew R.']"
"Zadrozny, Peter",Peter Zadrozny,"['Zadrozny, Peter']"
"Apps, Patricia F.",Patricia F. Apps,"['Apps, Patricia F.', 'Apps, Patricia F', 'Patricia F. Apps']"
"Mavromaras, Kostas G",Kostas G Mavromaras,"['Mavromaras, Kostas G', 'Mavromaras, Kostas Gr.']"
"Van Horne, James C.",James C. Van Horne,"['Van Horne, James C.', 'Van Horne, James C', 'James C. Van Horne']"
"Ermini, Luigi",Luigi Ermini,"['Ermini, Luigi']"
"Waugh, Michael E.",Michael E. Waugh,"['Waugh, Michael E.', 'Michael E. Waugh']"
"Bardos, Mireille",Mireille Bardos,"['Bardos, Mireille']"
Mona E. Dingle,Mona E. Dingle,['Mona E. Dingle']
"Schaefer, Mark E",Mark E Schaefer,"['Schaefer, Mark E']"
Pablo Selaya,Pablo Selaya,['Pablo Selaya']
"Sankaran, Jayaram K.",Jayaram K. Sankaran,"['Sankaran, Jayaram K.']"
Boies Penrose,Boies Penrose,['Boies Penrose']
"Abdullah, Dewan A",Dewan A Abdullah,"['Abdullah, Dewan A']"
"Ritzen, Jozef M",Jozef M Ritzen,"['Ritzen, Jozef M']"
"Perlo, Victor",Victor Perlo,"['Perlo, Victor']"
Elizabeth Frankenberg,Elizabeth Frankenberg,"['Elizabeth Frankenberg', 'Frankenberg, Elizabeth']"
Werner Roeger,Werner Roeger,"['Werner Roeger', 'Roeger, Werner']"
"Noh, Jaesum",Jaesum Noh,"['Noh, Jaesum']"
"Ting, Michael M.",Michael M. Ting,"['Ting, Michael M.', 'Michael M. Ting']"
Stephen D. Williamson,Stephen D. Williamson,"['Stephen D. Williamson', 'Williamson, Stephen D', 'Williamson, Stephen D.']"
Isaac Lippincott,Isaac Lippincott,['Isaac Lippincott']
"Werner, Therese",Therese Werner,"['Werner, Therese']"
"Cao, Jie",Jie Cao,"['Cao, Jie']"
William C. Strange,William C. Strange,"['William C. Strange', 'Strange, William C', 'Strange, William C.']"
"Tuzel, Selale",Selale Tuzel,"['Tuzel, Selale', 'Selale Tuzel']"
"Pollatschek, M A",M A Pollatschek,"['Pollatschek, M A']"
"Lepage, Guillaume",Guillaume Lepage,"['Lepage, Guillaume']"
"Fernandez, Roque B",Roque B Fernandez,"['Fernandez, Roque B']"
